"Title","Category","Year Published","Publisher","Stock","Total Sold"
"Atomic Habits","Self-Improvement","2018","Penguin Random House","200000","180000"
"Becoming","Biography","2018","Crown Publishing","150000","140000"
"Filosofi Teras","Philosophy","2018","Kompas Gramedia","120000","100000"
"The Psychology of Money","Finance","2020","Harriman House","100000","90000"
"I Want to Die But I Want to Eat Tteokpokki","Self-Improvement","2018","Haru","80000","75000"
"Norwegian Wood","Fiction","1987","Vintage","60,000","55,000"
"Orang-Orang Biasa","Fiction","2019","Bentang Pustaka","50000","45000"
"Tiga Drama","Drama","2024","Bentang Pustaka","30000","25000"
"Why? Symbiosis & Natural Enemy","Education","2023","Elex Media Komputindo","20000","15000"
"Oki Nirmala: Cerita dari Negeri Dongeng","Children","2024","Gramedia","15000","12000"
